,linkID,FromNodeId,ToNodeId
0,0,0,1
1,1,0,2
2,2,0,3
3,3,0,4
4,4,0,5
5,5,0,6
6,6,0,7
7,7,0,8
8,8,0,9
9,9,0,10
10,10,0,11
11,11,0,12
12,12,0,13
13,13,0,14
14,14,0,15
15,15,0,16
16,16,0,17
17,17,0,18
18,18,0,19
19,19,0,20
20,20,0,21
21,21,0,22
22,22,0,23
23,23,0,24
24,24,0,25
25,25,0,26
26,26,0,27
27,27,0,3038
28,28,1,0
29,29,1,2
30,30,1,3
31,31,1,4
32,32,1,5
33,33,1,6
34,34,1,7
35,35,1,8
36,36,1,9
37,37,1,10
38,38,1,11
39,39,1,12
40,40,1,13
41,41,1,14
42,42,1,15
43,43,1,16
44,44,1,17
45,45,1,18
46,46,1,19
47,47,1,20
48,48,1,21
49,49,1,22
50,50,1,23
51,51,1,24
52,52,1,25
53,53,1,26
54,54,1,27
55,55,1,788
56,56,1,789
57,57,1,2157
58,58,2,0
59,59,2,1
60,60,2,3
61,61,2,4
62,62,2,5
63,63,2,6
64,64,2,7
65,65,2,8
66,66,2,9
67,67,2,10
68,68,2,11
69,69,2,12
70,70,2,13
71,71,2,14
72,72,2,15
73,73,2,16
74,74,2,17
75,75,2,18
76,76,2,19
77,77,2,20
78,78,2,21
79,79,2,22
80,80,2,23
81,81,2,24
82,82,2,25
83,83,2,26
84,84,2,27
85,85,2,788
86,86,2,789
87,87,2,790
88,88,2,1251
89,89,3,0
90,90,3,1
91,91,3,2
92,92,3,4
93,93,3,5
94,94,3,6
95,95,3,7
96,96,3,8
97,97,3,9
98,98,3,10
99,99,3,11
100,100,3,12
101,101,3,13
102,102,3,14
103,103,3,15
104,104,3,16
105,105,3,17
106,106,3,18
107,107,3,19
108,108,3,20
109,109,3,21
110,110,3,22
111,111,3,23
112,112,3,24
113,113,3,25
114,114,3,26
115,115,3,27
116,116,3,788
117,117,3,789
118,118,3,790
119,119,3,1009
120,120,4,0
121,121,4,1
122,122,4,2
123,123,4,3
124,124,4,5
125,125,4,6
126,126,4,7
127,127,4,8
128,128,4,9
129,129,4,10
130,130,4,11
131,131,4,12
132,132,4,13
133,133,4,14
134,134,4,15
135,135,4,16
136,136,4,17
137,137,4,18
138,138,4,19
139,139,4,20
140,140,4,21
141,141,4,22
142,142,4,23
143,143,4,24
144,144,4,25
145,145,4,26
146,146,4,27
147,147,4,786
148,148,4,789
149,149,4,1598
150,150,5,0
151,151,5,1
152,152,5,2
153,153,5,3
154,154,5,4
155,155,5,6
156,156,5,7
157,157,5,8
158,158,5,9
159,159,5,10
160,160,5,11
161,161,5,12
162,162,5,13
163,163,5,14
164,164,5,15
165,165,5,16
166,166,5,17
167,167,5,18
168,168,5,19
169,169,5,20
170,170,5,21
171,171,5,22
172,172,5,23
173,173,5,24
174,174,5,25
175,175,5,26
176,176,5,27
177,177,5,788
178,178,5,789
179,179,5,790
180,180,5,2734
181,181,6,0
182,182,6,1
183,183,6,2
184,184,6,3
185,185,6,4
186,186,6,5
187,187,6,7
188,188,6,8
189,189,6,9
190,190,6,10
191,191,6,11
192,192,6,12
193,193,6,13
194,194,6,14
195,195,6,15
196,196,6,16
197,197,6,17
198,198,6,18
199,199,6,19
200,200,6,20
201,201,6,21
202,202,6,22
203,203,6,23
204,204,6,24
205,205,6,25
206,206,6,26
207,207,6,27
208,208,6,788
209,209,6,789
210,210,6,790
211,211,6,1815
212,212,7,0
213,213,7,1
214,214,7,2
215,215,7,3
216,216,7,4
217,217,7,5
218,218,7,6
219,219,7,8
220,220,7,9
221,221,7,10
222,222,7,11
223,223,7,12
224,224,7,13
225,225,7,14
226,226,7,15
227,227,7,16
228,228,7,17
229,229,7,18
230,230,7,19
231,231,7,20
232,232,7,21
233,233,7,22
234,234,7,23
235,235,7,24
236,236,7,25
237,237,7,26
238,238,7,27
239,239,7,785
240,240,7,933
241,241,8,0
242,242,8,1
243,243,8,2
244,244,8,3
245,245,8,4
246,246,8,5
247,247,8,6
248,248,8,7
249,249,8,9
250,250,8,10
251,251,8,11
252,252,8,12
253,253,8,13
254,254,8,14
255,255,8,15
256,256,8,16
257,257,8,17
258,258,8,18
259,259,8,19
260,260,8,20
261,261,8,21
262,262,8,22
263,263,8,23
264,264,8,24
265,265,8,25
266,266,8,26
267,267,8,27
268,268,8,785
269,269,8,2074
270,270,9,0
271,271,9,1
272,272,9,2
273,273,9,3
274,274,9,4
275,275,9,5
276,276,9,6
277,277,9,7
278,278,9,8
279,279,9,10
280,280,9,11
281,281,9,12
282,282,9,13
283,283,9,14
284,284,9,15
285,285,9,16
286,286,9,17
287,287,9,18
288,288,9,19
289,289,9,20
290,290,9,21
291,291,9,22
292,292,9,23
293,293,9,24
294,294,9,25
295,295,9,26
296,296,9,27
297,297,9,1076
298,298,10,0
299,299,10,1
300,300,10,2
301,301,10,3
302,302,10,4
303,303,10,5
304,304,10,6
305,305,10,7
306,306,10,8
307,307,10,9
308,308,10,11
309,309,10,12
310,310,10,13
311,311,10,14
312,312,10,15
313,313,10,16
314,314,10,17
315,315,10,18
316,316,10,19
317,317,10,20
318,318,10,21
319,319,10,22
320,320,10,23
321,321,10,24
322,322,10,25
323,323,10,26
324,324,10,27
325,325,10,785
326,326,10,1181
327,327,11,0
328,328,11,1
329,329,11,2
330,330,11,3
331,331,11,4
332,332,11,5
333,333,11,6
334,334,11,7
335,335,11,8
336,336,11,9
337,337,11,10
338,338,11,12
339,339,11,13
340,340,11,14
341,341,11,15
342,342,11,16
343,343,11,17
344,344,11,18
345,345,11,19
346,346,11,20
347,347,11,21
348,348,11,22
349,349,11,23
350,350,11,24
351,351,11,25
352,352,11,26
353,353,11,27
354,354,11,785
355,355,11,1183
356,356,12,0
357,357,12,1
358,358,12,2
359,359,12,3
360,360,12,4
361,361,12,5
362,362,12,6
363,363,12,7
364,364,12,8
365,365,12,9
366,366,12,10
367,367,12,11
368,368,12,13
369,369,12,14
370,370,12,15
371,371,12,16
372,372,12,17
373,373,12,18
374,374,12,19
375,375,12,20
376,376,12,21
377,377,12,22
378,378,12,23
379,379,12,24
380,380,12,25
381,381,12,26
382,382,12,27
383,383,12,787
384,384,12,1470
385,385,13,0
386,386,13,1
387,387,13,2
388,388,13,3
389,389,13,4
390,390,13,5
391,391,13,6
392,392,13,7
393,393,13,8
394,394,13,9
395,395,13,10
396,396,13,11
397,397,13,12
398,398,13,14
399,399,13,15
400,400,13,16
401,401,13,17
402,402,13,18
403,403,13,19
404,404,13,20
405,405,13,21
406,406,13,22
407,407,13,23
408,408,13,24
409,409,13,25
410,410,13,26
411,411,13,27
412,412,13,787
413,413,13,1555
414,414,14,0
415,415,14,1
416,416,14,2
417,417,14,3
418,418,14,4
419,419,14,5
420,420,14,6
421,421,14,7
422,422,14,8
423,423,14,9
424,424,14,10
425,425,14,11
426,426,14,12
427,427,14,13
428,428,14,15
429,429,14,16
430,430,14,17
431,431,14,18
432,432,14,19
433,433,14,20
434,434,14,21
435,435,14,22
436,436,14,23
437,437,14,24
438,438,14,25
439,439,14,26
440,440,14,27
441,441,14,3035
442,442,15,0
443,443,15,1
444,444,15,2
445,445,15,3
446,446,15,4
447,447,15,5
448,448,15,6
449,449,15,7
450,450,15,8
451,451,15,9
452,452,15,10
453,453,15,11
454,454,15,12
455,455,15,13
456,456,15,14
457,457,15,16
458,458,15,17
459,459,15,18
460,460,15,19
461,461,15,20
462,462,15,21
463,463,15,22
464,464,15,23
465,465,15,24
466,466,15,25
467,467,15,26
468,468,15,27
469,469,15,788
470,470,15,789
471,471,15,790
472,472,15,854
473,473,16,0
474,474,16,1
475,475,16,2
476,476,16,3
477,477,16,4
478,478,16,5
479,479,16,6
480,480,16,7
481,481,16,8
482,482,16,9
483,483,16,10
484,484,16,11
485,485,16,12
486,486,16,13
487,487,16,14
488,488,16,15
489,489,16,17
490,490,16,18
491,491,16,19
492,492,16,20
493,493,16,21
494,494,16,22
495,495,16,23
496,496,16,24
497,497,16,25
498,498,16,26
499,499,16,27
500,500,16,788
501,501,16,789
502,502,16,790
503,503,16,1193
504,504,17,0
505,505,17,1
506,506,17,2
507,507,17,3
508,508,17,4
509,509,17,5
510,510,17,6
511,511,17,7
512,512,17,8
513,513,17,9
514,514,17,10
515,515,17,11
516,516,17,12
517,517,17,13
518,518,17,14
519,519,17,15
520,520,17,16
521,521,17,18
522,522,17,19
523,523,17,20
524,524,17,21
525,525,17,22
526,526,17,23
527,527,17,24
528,528,17,25
529,529,17,26
530,530,17,27
531,531,17,786
532,532,17,789
533,533,17,790
534,534,17,1196
535,535,18,0
536,536,18,1
537,537,18,2
538,538,18,3
539,539,18,4
540,540,18,5
541,541,18,6
542,542,18,7
543,543,18,8
544,544,18,9
545,545,18,10
546,546,18,11
547,547,18,12
548,548,18,13
549,549,18,14
550,550,18,15
551,551,18,16
552,552,18,17
553,553,18,19
554,554,18,20
555,555,18,21
556,556,18,22
557,557,18,23
558,558,18,24
559,559,18,25
560,560,18,26
561,561,18,27
562,562,18,788
563,563,18,789
564,564,18,790
565,565,18,1398
566,566,18,3378
567,567,19,0
568,568,19,1
569,569,19,2
570,570,19,3
571,571,19,4
572,572,19,5
573,573,19,6
574,574,19,7
575,575,19,8
576,576,19,9
577,577,19,10
578,578,19,11
579,579,19,12
580,580,19,13
581,581,19,14
582,582,19,15
583,583,19,16
584,584,19,17
585,585,19,18
586,586,19,20
587,587,19,21
588,588,19,22
589,589,19,23
590,590,19,24
591,591,19,25
592,592,19,26
593,593,19,27
594,594,19,788
595,595,19,789
596,596,19,790
597,597,19,1274
598,598,20,0
599,599,20,1
600,600,20,2
601,601,20,3
602,602,20,4
603,603,20,5
604,604,20,6
605,605,20,7
606,606,20,8
607,607,20,9
608,608,20,10
609,609,20,11
610,610,20,12
611,611,20,13
612,612,20,14
613,613,20,15
614,614,20,16
615,615,20,17
616,616,20,18
617,617,20,19
618,618,20,21
619,619,20,22
620,620,20,23
621,621,20,24
622,622,20,25
623,623,20,26
624,624,20,27
625,625,20,786
626,626,20,789
627,627,20,1277
628,628,21,0
629,629,21,1
630,630,21,2
631,631,21,3
632,632,21,4
633,633,21,5
634,634,21,6
635,635,21,7
636,636,21,8
637,637,21,9
638,638,21,10
639,639,21,11
640,640,21,12
641,641,21,13
642,642,21,14
643,643,21,15
644,644,21,16
645,645,21,17
646,646,21,18
647,647,21,19
648,648,21,20
649,649,21,22
650,650,21,23
651,651,21,24
652,652,21,25
653,653,21,26
654,654,21,27
655,655,21,789
656,656,21,790
657,657,21,957
658,658,22,0
659,659,22,1
660,660,22,2
661,661,22,3
662,662,22,4
663,663,22,5
664,664,22,6
665,665,22,7
666,666,22,8
667,667,22,9
668,668,22,10
669,669,22,11
670,670,22,12
671,671,22,13
672,672,22,14
673,673,22,15
674,674,22,16
675,675,22,17
676,676,22,18
677,677,22,19
678,678,22,20
679,679,22,21
680,680,22,23
681,681,22,24
682,682,22,25
683,683,22,26
684,684,22,27
685,685,22,786
686,686,22,2850
687,687,23,0
688,688,23,1
689,689,23,2
690,690,23,3
691,691,23,4
692,692,23,5
693,693,23,6
694,694,23,7
695,695,23,8
696,696,23,9
697,697,23,10
698,698,23,11
699,699,23,12
700,700,23,13
701,701,23,14
702,702,23,15
703,703,23,16
704,704,23,17
705,705,23,18
706,706,23,19
707,707,23,20
708,708,23,21
709,709,23,22
710,710,23,24
711,711,23,25
712,712,23,26
713,713,23,27
714,714,23,1064
715,715,24,0
716,716,24,1
